Date,Ticker,Weight
2024-10-01,AAPL,0.01
2024-10-01,NVDA,0.01
2024-10-01,AMZN,0.01
2024-10-01,META,0.01
2024-10-01,AVGO,0.01
2024-10-01,MU,0.01
2024-10-01,ADI,0.01
2024-10-01,MELI,0.01
2024-10-01,INTC,0.01
2024-10-01,AEP,0.01
2024-10-01,MNST,0.01
2024-10-01,FANG,0.01
2024-10-01,PAYX,0.01
2024-10-01,APP,0.01
2024-10-01,DDOG,0.01
2024-10-01,ALNY,0.01
2024-10-01,FITB,0.01
2024-10-01,ERIE,0.01
2024-10-01,ANSS,0.01
2024-10-01,ICLR,0.01
2024-10-01,TER,0.01
2024-10-01,ILMN,0.01
2024-10-01,UAL,0.01
2024-10-01,LINE,0.01
2024-10-01,BSY,0.01
2024-10-01,TRMB,0.01
2024-10-01,FUTU,0.01
2024-10-01,WING,0.01
2024-10-01,PPC,0.01
2024-10-01,SFM,0.01
2024-10-01,MBLY,0.01
2024-10-01,LECO,0.01
2024-10-01,HAS,0.01
2024-10-01,DOX,0.01
2024-10-01,MKTX,0.01
2024-10-01,RGLD,0.01
2024-10-01,FYBR,0.01
2024-10-01,FSV,0.01
2024-10-01,TEM,0.01
2024-10-01,SOFI,0.01
2024-10-01,DBX,0.01
2024-10-01,LNW,0.01
2024-10-01,CELH,0.01
2024-10-01,SPSC,0.01
2024-10-01,SAIC,0.01
2024-10-01,NSIT,0.01
2024-10-01,NOVT,0.01
2024-10-01,CWST,0.01
2024-10-01,VRNS,0.01
2024-10-01,CSWI,0.01
2024-10-01,GRFS,0.01
2024-10-01,ACIW,0.01
2024-10-01,KRYS,0.01
2024-10-01,GGAL,0.01
2024-10-01,UMBF,0.01
2024-10-01,ICUI,0.01
2024-10-01,LOPE,0.01
2024-10-01,SITM,0.01
2024-10-01,CRSP,0.01
2024-10-01,AEIS,0.01
2024-10-01,IRDM,0.01
2024-10-01,IDCC,0.01
2024-10-01,TGTX,0.01
2024-10-01,MGEE,0.01
2024-10-01,BWIN,0.01
2024-10-01,SMTC,0.01
2024-10-01,PTEN,0.01
2024-10-01,TRMD,0.01
2024-10-01,CARG,0.01
2024-10-01,PLTK,0.01
2024-10-01,IOVA,0.01
2024-10-01,PENN,0.01
2024-10-01,CSQ,0.01
2024-10-01,AMRX,0.01
2024-10-01,SFNC,0.01
2024-10-01,NMRK,0.01
2024-10-01,HWKN,0.01
2024-10-01,GT,0.01
2024-10-01,CGON,0.01
2024-10-01,INDB,0.01
2024-10-01,UFPT,0.01
2024-10-01,HTLF,0.01
2024-10-01,WERN,0.01
2024-10-01,VEON,0.01
2024-10-01,HRMY,0.01
2024-10-01,CNTA,0.01
2024-10-01,AVPT,0.01
2024-10-01,YY,0.01
2024-10-01,FIVN,0.01
2024-10-01,SPNS,0.01
2024-10-01,SIMO,0.01
2024-10-01,MBIN,0.01
2024-10-01,OMCL,0.01
2024-10-01,SJW,0.01
2024-10-01,ENLT,0.01
2024-10-01,TTMI,0.01
2024-10-01,KNSA,0.01
2024-10-01,TFIN,0.01
2024-10-01,SUPN,0.01
2024-10-01,TRUP,0.01
2024-10-02,AAPL,0.01
2024-10-02,NVDA,0.01
2024-10-02,AMZN,0.01
2024-10-02,META,0.01
2024-10-02,AVGO,0.01
2024-10-02,ADI,0.01
2024-10-02,MU,0.01
2024-10-02,MELI,0.01
2024-10-02,INTC,0.01
2024-10-02,AEP,0.01
2024-10-02,MNST,0.01
2024-10-02,FANG,0.01
2024-10-02,PAYX,0.01
2024-10-02,APP,0.01
2024-10-02,DDOG,0.01
2024-10-02,ALNY,0.01
2024-10-02,FITB,0.01
2024-10-02,ERIE,0.01
2024-10-02,ANSS,0.01
2024-10-02,ICLR,0.01
2024-10-02,ILMN,0.01
2024-10-02,TER,0.01
2024-10-02,UAL,0.01
2024-10-02,LINE,0.01
2024-10-02,FUTU,0.01
2024-10-02,TRMB,0.01
2024-10-02,BSY,0.01
2024-10-02,WING,0.01
2024-10-02,PPC,0.01
2024-10-02,SFM,0.01
2024-10-02,LECO,0.01
2024-10-02,MBLY,0.01
2024-10-02,DOX,0.01
2024-10-02,HAS,0.01
2024-10-02,MKTX,0.01
