Ticker,Date,Open,Close
GGAL,2024-10-01,41.9,42.41
NVDA,2024-10-01,121.765,117
AAPL,2024-10-01,229.52,226.21
AMZN,2024-10-01,184.9,185.13
META,2024-10-01,577.98,576.47
CRESY,2024-10-01,8.72,8.89
AVGO,2024-10-01,172.16,167.47
APP,2024-10-01,130.79,130.65
MU,2024-10-01,103.4,100.31
ADI,2024-10-01,228.93,223.67
INTC,2024-10-01,23.46,22.69
MELI,2024-10-01,2060,2066.12
FANG,2024-10-01,170.92,177.52
MNST,2024-10-01,52.17,51.59
AEP,2024-10-01,102.28,102.22
PAYX,2024-10-01,137.69,140.79
DDOG,2024-10-01,117.45,113.98
FITB,2024-10-01,42.75,41.86
ALNY,2024-10-01,274.88,276.06
UAL,2024-10-01,56.87,56.13
GGAL,2024-10-02,41.97,41.94
NVDA,2024-10-02,116.44,118.85
AAPL,2024-10-02,225.89,226.78
AMZN,2024-10-02,184.44,184.76
META,2024-10-02,574.86,572.81
CRESY,2024-10-02,9.45,8.84
AVGO,2024-10-02,167.55,170.66
APP,2024-10-02,129.85,131.36
MU,2024-10-02,100.59,99.85
ADI,2024-10-02,224.98,227.73
INTC,2024-10-02,22.67,22.39
MELI,2024-10-02,1993.22,1970.72
FANG,2024-10-02,182.62,181.29
MNST,2024-10-02,51.53,50.94
AEP,2024-10-02,101.39,101.81
PAYX,2024-10-02,139.38,140.76
DDOG,2024-10-02,114.19,116.22
FITB,2024-10-02,41.9,41.98
ALNY,2024-10-02,275.62,271.55
UAL,2024-10-02,55.35,55.74
GGAL,2024-10-03,41.8,43.41
NVDA,2024-10-03,120.92,122.85
AAPL,2024-10-03,225.14,225.67
AMZN,2024-10-03,183.045,181.96
META,2024-10-03,570.15,582.77
CRESY,2024-10-03,8.83,8.97
AVGO,2024-10-03,169.62,171.89
APP,2024-10-03,130.88,135.25
MU,2024-10-03,99.47,101.82
ADI,2024-10-03,224.63,226.56
INTC,2024-10-03,22.14,22.26
MELI,2024-10-03,1956.65,1959.2
FANG,2024-10-03,181.87,188.3
MNST,2024-10-03,50.57,50.31
AEP,2024-10-03,101.95,101.37
PAYX,2024-10-03,139.96,139.36
DDOG,2024-10-03,115.26,117.53
FITB,2024-10-03,41.76,41.74
ALNY,2024-10-03,271.55,269.53
UAL,2024-10-03,55.6,55.62
GGAL,2024-10-04,43.64,43.49
NVDA,2024-10-04,124.94,124.92
AAPL,2024-10-04,227.9,226.8
AMZN,2024-10-04,185.75,186.51
META,2024-10-04,583.73,595.94
CRESY,2024-10-04,9.05,8.96
AVGO,2024-10-04,176.3,176.64
APP,2024-10-04,137.5,139.66
MU,2024-10-04,103.65,102.25
ADI,2024-10-04,231.9,228.23
INTC,2024-10-04,22.7,22.59
MELI,2024-10-04,1966,1960
FANG,2024-10-04,191.56,194.61
MNST,2024-10-04,50.31,50.95
AEP,2024-10-04,100.47,100.28
PAYX,2024-10-04,140.62,138.65
DDOG,2024-10-04,119.55,122.69
FITB,2024-10-04,42.46,42.1
ALNY,2024-10-04,269.01,267.99
UAL,2024-10-04,57.94,59.22
GGAL,2024-10-07,43.16,42.52
NVDA,2024-10-07,124.99,127.72
AAPL,2024-10-07,224.5,221.69
AMZN,2024-10-07,182.95,180.8
META,2024-10-07,598.22,584.78
CRESY,2024-10-07,9.288,8.86
AVGO,2024-10-07,174.82,175.08
APP,2024-10-07,138.85,139.95
MU,2024-10-07,102.16,102.91
ADI,2024-10-07,225.65,226.51
INTC,2024-10-07,22.4,22.38
MELI,2024-10-07,1961,1963.23
FANG,2024-10-07,195.95,199.5
MNST,2024-10-07,50.63,49.24
AEP,2024-10-07,99.63,98.06
PAYX,2024-10-07,137.88,137.44
DDOG,2024-10-07,122.2,122.38
FITB,2024-10-07,41.9,42.16
ALNY,2024-10-07,268.55,266.77
